Date,Adj Close,change_categorical,daily_change_pred,Volume,daily_change,neg_sentiment,neu_sentiment,pos_sentiment,compound_sentiment,tweets_count
2015-11-20,44.00199890136719,Decrease,-1.0272252979229957,22003500.0,-0.8070372048210372,0.078,0.726,0.196,0.8481,6.0
2015-11-23,43.54999923706055,Increase,0.2296263847767488,12631000.0,-1.0272252979229957,0.078,0.726,0.196,0.8481,0.0
2015-11-24,43.650001525878906,Increase,5.218785334014542,12401500.0,0.2296263847767488,0.02,0.821,0.158,0.9545,8.0
2015-11-25,45.928001403808594,Increase,0.8578583442347298,19954000.0,5.218785334014542,0.02,0.821,0.158,0.9545,0.0
2015-11-27,46.321998596191406,Decrease,-0.5828773929151487,9747000.0,0.8578583442347298,0.02,0.821,0.158,0.9545,0.0
2015-11-30,46.051998138427734,Increase,3.0096448426578215,13299000.0,-0.5828773929151487,0.02,0.821,0.158,0.9545,0.0
2015-12-01,47.4379997253418,Decrease,-2.1923372012917497,18670000.0,3.0096448426578215,0.02,0.821,0.158,0.9545,0.0
2015-12-02,46.39799880981445,Increase,0.3103603835810542,14907500.0,-2.1923372012917497,0.0,1.0,0.0,0.0,1.0
2015-12-03,46.54199981689453,Decrease,-1.001245337769796,14698000.0,0.3103603835810542,0.0,0.756,0.244,0.4404,1.0
2015-12-04,46.07600021362305,Increase,0.3255524029504464,12868000.0,-1.001245337769796,0.0,0.694,0.306,0.4753,1.0
2015-12-07,46.22600173950195,Decrease,-1.9080169953974546,15721000.0,0.3255524029504464,0.0,0.694,0.306,0.4753,0.0
2015-12-08,45.34400177001953,Decrease,-0.9703652616235736,13438000.0,-1.9080169953974546,0.0,0.694,0.306,0.4753,0.0
2015-12-09,44.90399932861328,Increase,1.1357610543733632,15289000.0,-0.9703652616235736,0.0,0.0,1.0,0.5859,1.0
2015-12-10,45.41400146484375,Decrease,-4.425952506709785,10358500.0,1.1357610543733632,0.098,0.816,0.086,-0.0772,2.0
