date,change_categorical,daily_change_pred,daily_change,tweets_count,neg_sentiment,neu_sentiment,pos_sentiment,compound_sentiment
2017-01-19,Increase,0.39793290226544104,2.265476582286729,1,0.122,0.769,0.109,-0.0772
2017-01-25,Decrease,-0.7702324398868865,-0.0549858164311301,1,0.0,0.848,0.152,0.3612
2017-02-07,Increase,1.7865504360315532,-0.11250818745869308,3,0.0,0.826,0.174,0.8126
2017-02-08,Increase,2.7167272901938317,1.7865504360315532,1,0.0,1.0,0.0,0.0
2017-02-10,Increase,4.223151640129942,0.011145094319875426,1,0.0,0.881,0.119,0.3182
2017-02-15,Decrease,-3.8640240952076184,-0.43419368800505787,2,0.113,0.606,0.282,0.8439
2017-02-23,Increase,0.3945459919564964,-6.405611904935082,1,0.0,0.448,0.552,0.5719
2017-03-10,Increase,1.0176909348458274,-0.4940804044420322,2,0.029,0.899,0.072,0.4588
2017-03-24,Increase,2.6827761620269235,3.289109517203803,5,0.038,0.868,0.094,0.7405
2017-03-28,Decrease,-0.025229660373715657,2.6756032020192944,2,0.149,0.681,0.17,0.0956
2017-03-31,Increase,7.265538500445645,0.136730379468486,1,0.0,0.679,0.321,0.8172
2017-04-03,Increase,1.7352323758573318,7.265538500445645,1,0.0,1.0,0.0,0.0
2017-04-07,Increase,3.2557698809763775,1.285566990494491,1,0.0,1.0,0.0,0.0
2017-04-12,Increase,2.4120725067491966,-3.8450334084117688,1,0.0,0.803,0.197,0.4019
2017-04-13,Decrease,-0.8421069803000392,2.4120725067491966,1,0.087,0.718,0.195,0.4767
2017-05-10,Decrease,-0.6518602485007574,1.2326461906816633,3,0.0,0.884,0.116,0.6597
2017-05-22,Decrease,-2.0911879202113126,-0.15442632760864772,4,0.03,0.932,0.038,0.128
2017-05-24,Increase,2.130749852039382,2.093068144120136,1,0.0,0.909,0.091,0.3182
2017-06-01,Decrease,-0.15276945776424578,-0.18768654132678145,1,0.0,0.939,0.061,0.0258
2017-06-05,Increase,1.592195752013903,2.1980221269274347,2,0.175,0.825,0.0,-0.5267
2017-06-06,Increase,1.9271653907224184,1.592195752013903,2,0.0,1.0,0.0,0.0
2017-06-08,Decrease,-3.427031233504008,2.8777974225523195,2,0.0,0.926,0.074,0.34
2017-06-09,Increase,0.4729725185276923,-3.427031233504008,7,0.217,0.692,0.091,-0.9733
2017-06-20,Increase,1.1175595774892688,0.6598147220702177,1,0.0,0.916,0.084,0.2732
2017-06-23,Decrease,-1.5543112593902508,0.21954373985282327,1,0.0,1.0,0.0,0.0
2017-06-29,Increase,0.2383881727997084,-2.8256647205449625,1,0.146,0.445,0.409,0.6925
2017-06-30,Decrease,-2.4860990513207115,0.2383881727997084,1,0.0,1.0,0.0,0.0
2017-07-03,Decrease,-7.2400922485552845,-2.4860990513207115,3,0.062,0.82,0.118,0.4371
2017-07-06,Increase,1.4214975605230995,-5.582562090149501,1,0.114,0.652,0.234,0.4939
2017-07-11,Increase,0.7028896197613488,3.5342527954833387,2,0.076,0.924,0.0,-0.3404
2017-07-14,Decrease,-2.504726183920125,1.3512268637917881,1,0.0,0.823,0.177,0.6486
2017-07-17,Increase,2.7130223736997032,-2.504726183920125,2,0.157,0.805,0.038,-0.5979
2017-07-21,Increase,4.299630761932338,-0.4607190366594627,1,0.0,0.796,0.204,0.6249
2017-07-25,Increase,1.2514701075326815,-0.8525044559746121,1,0.0,0.834,0.166,0.6361
2017-07-26,Decrease,-2.7308396738741525,1.2514701075326815,2,0.228,0.543,0.228,0.25
2017-07-28,Decrease,-3.4619627196365466,0.18238601187909875,3,0.056,0.872,0.072,0.1531
2017-08-02,Increase,6.505259094246751,1.9776573364133965,2,0.038,0.68,0.281,0.8481
